"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060009679","41837","5960"
"T20060009714","38475","5046"
"T20060009745","50635","7970"
"T20060009825","36321","6197"
"T20060009830","44633","8991"
"T20060009892","37793","9019"
"T20060009901","34518","9005"
"T20060009946","37235","9084"
"T20060009966","42919","6219"
"T20060009996","44382","9567"
"T20060010035","40914","5669"
"T20060010148","35304","9276"
"T20060010258","19433","105656"
"T20060010279","46905","5128"
"T20060010298","192931","6179"
"T20060010302","55520","102383"
"T20060010349","40697","5592"
"T20060010369","41936","5772"
"T20060010406","55478","5164"
"T20060010439","39267","5276"
"T20060010508","41953","5795"
"T20060010511","37585","9474"
"T20060010522","40914","5669"
"T20060010575","55599","1248"
"T20060010585","29386","9210"
"T20060010619","11590","9475"
"T20060010639","53184","1001"
"T20060010639","53184","9291"
"T20060010648","243","9389"
"T20060010722","35438","8799"
"T20060010738","39775","5202"
"T20060010767","42197","6153"
"T20060010782","42746","6207"
"T20060010827","22","9260"
"T20060010855","45622","9093"
"T20060010944","15413","7749"
"T20060011072","35341","106066"
"T20060011083","42577","105834"
"T20060011164","57290","3153"
"T20060011184","49684","1003"
"T20060011190","57354","8693"
"T20060011201","37693","100906"
"T20060011228","461","9369"
"T20060011263","47464","7676"
"T20060011303","84","5272"
"T20060011412","54453","9413"
"T20060011452","44461","7703"
"T20060011462","29517","9254"
"T20060011473","36138","6291"
"T20060011482","57539","5760"
"T20060011496","44382","9567"
"T20060011547","478","5254"
"T20060011663","793","1000"
"T20060011663","793","6086"
"T20060011664","40501","8859"
"T20060011721","51107","3150"
"T20060011722","29491","9007"
"T20060011735","37691","100905"
"T20060011769","868","6379"
"T20060011773","30019","6627"
"T20060011788","41876","5838"
"T20060011885","40410","5422"
"T20060011888","41770","5998"
"T20060011960","43752","8692"
"T20060011973","52848","2296"
"T20060012012","35532","5593"
"T20060012205","792","6047"
"T20060012234","41991","5934"
"T20060012267","41843","5710"
"T20060012334","29386","9210"
"T20060012393","38688","9300"
"T20060012402","438","5028"
"T20060012415","41693","5861"
"T20060012444","792","6047"
"T20060012487","42157","6092"
"T20060012537","40500","5518"
"T20060012560","37788","5457"
"T20060012675","36321","6197"
"T20060012822","35714","9155"
"T20060012832","29386","9210"
"T20060012924","41910","5791"
"T20060012995","36150","5876"
"T20060013037","17632","3139"
"T20060013104","203915","5456"
"T20060013197","35705","8760"
"T20060013345","55617","3163"
"T20060013348","37179","9427"
"T20060013375","48334","7631"
"T20060013468","55623","9589"
"T20060013476","36208","9264"
"T20060013505","38291","5063"
"T20060013529","793","1000"
"T20060013529","793","6086"
"T20060013752","36210","9279"
"T20060013754","36448","6458"
"T20060013819","32860","6390"
"T20060013830","55849","7967"
"T20060013846","53216","9400"
"T20060014296","35784","7781"
"T20060014375","52494","1024"
"T20060014621","40783","5621"
"T20060014869","35526","5413"
"T20060014900","36221","9233"
"T20060015014","46521","5127"
"T20060015024","52047","1108"
"T20060015149","52865","2315"
"T20060015263","39539","5236"
"T20060015275","45123","1208"
"T20060015297","26244","4192"
"T20060015314","46695","6038"
"T20060015328","50246","100726"
"T20060015374","15057","9267"
"T20060015386","57661","7784"
"T20060015390","37362","8797"
"T20060015428","52085","1136"
"T20060015459","37235","9084"
"T20060015538","36932","9400"
"T20060015562","36407","105625"
"T20060015567","10592","1000"
"T20060015578","40141","9551"
"T20060015658","49935","7701"
"T20060015688","35784","7781"
"T20060015733","36969","5692"
"T20060015735","46818","5062"
"T20060015756","72366","7752"
"T20060015761","29746","6456"
"T20060015776","10919","6651"
"T20060016068","47550","6775"
"T20060016083","43053","8982"
"T20060016096","48399","6177"
"T20060016163","48289","9149"
"T20060016176","37894","9038"
"T20060016311","81","5961"
"T20060016346","11083","5703"
"T20060016399","36692","5964"
"T20060016414","44463","7708"
"T20060016515","35308","1001"
"T20060016515","35308","9286"
"T20060016558","10592","1000"
"T20060016589","35638","102085"
"T20060016637","43152","6282"
"T20060016647","29372","9209"
"T20060016676","55662","1113"
"T20060016726","29773","6797"
"T20060016738","37496","5124"
"T20060016742","42744","6221"
"T20060016763","61744","8756"
"T20060016780","478","5254"
"T20060016822","22622","101189"
"T20060016835","42744","6221"
"T20060016860","29592","9519"
"T20060017064","35937","8765"
"T20060017066","29773","6797"
"T20060017074","42880","6226"
"T20060017144","228","9406"
"T20060017184","36214","9298"
"T20060017211","36221","9233"
"T20060017279","22","9260"
"T20060017336","49818","7673"
"T20060017435","45344","9059"
"T20060017540","55666","101537"
"T20060017546","52250","104462"
"T20060017647","46463","6224"
"T20060017665","42791","6316"
"T20060017759","83","9299"
"T20060017796","43133","101199"
"T20060017822","65993","5311"
"T20060017831","46731","104272"
"T20060017846","11171","9243"
"T20060018013","41777","5790"
"T20060018067","44459","7800"
"T20060018157","55325","8595"
"T20060018229","48959","9301"
"T20060018278","49935","7701"
"T20060018299","42590","6184"
"T20060018471","41016","5469"
"T20060018539","29700","6404"
"T20060018614","40576","5599"
"T20060018715","17632","3139"
"T20060018815","33879","1002"
"T20060018844","41271","5700"
"T20060018924","29372","9209"
"T20060018971","721","5995"
"T20060019026","50179","7795"
"T20060019093","57542","5771"
"T20060019093","57542","104334"
"T20060019296","41833","5915"
"T20060019320","35526","5413"
"T20060019559","32079","106094"
"T20060019597","242","9424"
"T20060019638","55675","7554"
"T20060019687","204473","103868"
"T20060019723","10381","1002"
"T20060019818","41667","5899"
"T20060019956","43027","6301"
"T20060019967","29416","9375"
"T20060020007","36731","5673"
"T20060020093","43287","6470"
"T20060020144","42411","6087"
"T20060020172","37592","9490"
"T20060020183","44972","9011"
"T20060020204","26280","5998"
"T20060020261","43152","6282"
"T20060020343","54466","1243"
"T20060020382","36809","5939"
"T20060020444","42575","6162"
"T20060020470","38794","102794"
"T20060020569","48334","7631"
"T20060020578","55679","7655"
"T20060020583","37587","9463"
"T20060020622","52777","2252"
"T20060020676","15406","7725"
"T20060020687","44317","9599"
"T20060020694","40205","5672"
"T20060020697","45937","5292"
"T20060020809","43287","6470"
"T20060020899","45881","1030"
"T20060020970","56203","100873"
"T20060020992","54453","9413"
"T20060021013","57538","5762"
"T20060021013","57538","100943"
"T20060021113","46085","1000"
"T20060021128","57542","5771"
"T20060021128","57542","104334"
"T20060021135","42658","6174"
"T20060021186","41734","5872"
"T20060021284","50841","3017"
"T20060021286","36210","9279"
"T20060021309","39267","5276"
"T20060021350","35778","1028"
"T20060021407","33879","1002"
"T20060021422","793","1000"
"T20060021422","793","6086"
"T20060021443","53088","2336"
"T20060021449","56049","100890"
"T20060021460","42474","6050"
"T20060021467","16750","7555"
"T20060021586","957","6703"
"T20060021596","55704","103947"
"T20060021631","42746","6207"
"T20060021672","55706","4023"
"T20060021742","35416","5526"
"T20060021811","43027","6301"
"T20060021838","47518","100903"
"T20060021912","53513","1232"
"T20060021913","33879","1002"
"T20060021922","35451","8750"
"T20060021924","57544","100891"
"T20060021932","29945","7708"
"T20060021933","42360","100577"
"T20060021985","42750","6234"
"T20060022051","49997","7717"
"T20060022127","29773","6797"
"T20060022138","29893","1001"
"T20060022144","238698","5359"
"T20060022207","43766","101639"
"T20060022235","40158","5590"
"T20060022246","204654","9437"
"T20060022267","44796","1344"
"T20060022334","41896","5707"
"T20060022398","204677","6179"
"T20060022442","30110","4082"
"T20060022482","55710","104574"
"T20060022515","43365","100546"
"T20060022553","35740","9411"
"T20060022583","41191","102041"
"T20060022586","41453","5880"
"T20060022594","10381","1002"
"T20060022718","55714","5890"
"T20060022765","46716","5882"
"T20060022820","45642","9183"
"T20060022829","167","8669"
"T20060022842","73150","1257"
"T20060022860","55719","6562"
"T20060022873","35862","8776"
"T20060022891","35304","9276"
"T20060022931","40914","5669"
"T20060022961","54453","9413"
"T20060023048","43027","6301"
"T20060023057","52225","1211"
"T20060023075","10381","1002"
"T20060023076","57648","6672"
"T20060023083","41039","5667"
"T20060023093","43061","6385"
"T20060023130","29813","9115"
"T20060023137","10919","6651"
"T20060023158","35970","102237"
"T20060023172","41145","104623"
"T20060023196","55721","8916"
"T20060023314","35620","6351"
"T20060023406","15405","7707"
"T20060023434","49975","7711"
"T20060023446","54089","6083"
"T20060023562","29618","5570"
"T20060023593","54466","1243"
"T20060023595","50059","105623"
"T20060023698","40426","5620"
"T20060023728","55730","6416"
"T20060023767","49729","7629"
"T20060023800","42320","6068"
"T20060023808","55791","6194"
