"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20080014342","50013","7723"
"T20080014417","48590","1006"
"T20080014471","56997","5679"
"T20080014556","40520","5523"
"T20080014602","38117","103807"
"T20080014671","233797","9276"
"T20080014697","10592","1000"
"T20080014699","37235","9084"
"T20080014703","42451","6033"
"T20080014719","35620","6351"
"T20080014731","38931","5304"
"T20080014742","56989","6150"
"T20080014829","29869","9586"
"T20080014910","57065","9172"
"T20080015060","50186","7800"
"T20080015083","57918","5726"
"T20080015085","222103","4253"
"T20080015086","29387","9395"
"T20080015177","39363","5297"
"T20080015211","35379","7770"
"T20080015243","35432","5028"
"T20080015347","41910","5791"
"T20080015349","45123","1208"
"T20080015350","128","1020"
"T20080015364","56990","2344"
"T20080015369","883","8959"
"T20080015378","35408","9510"
"T20080015442","57026","5482"
"T20080015453","61034","2347"
"T20080015526","37446","102524"
"T20080015598","216407","1006"
"T20080015697","37302","9365"
"T20080015839","41787","5987"
"T20080015854","57052","104790"
"T20080015867","35778","1028"
"T20080015899","43367","1022"
"T20080015948","37164","8624"
"T20080016089","35714","9155"
"T20080016095","1016","6592"
"T20080016137","37856","102008"
"T20080016182","57256","3229"
"T20080016276","376","102938"
"T20080016296","35619","6344"
"T20080016298","52239","1230"
"T20080016410","10919","6651"
"T20080016484","99983","6011"
"T20080016500","53680","6124"
"T20080016541","40500","5518"
"T20080016543","37712","9449"
"T20080016619","39558","5308"
"T20080016649","29372","9209"
"T20080016653","38155","9047"
"T20080016694","45553","9117"
"T20080016715","42460","6194"
"T20080016896","39556","5284"
"T20080016930","54508","5608"
"T20080016945","52689","2171"
"T20080016966","39778","5269"
"T20080016969","39778","5269"
"T20080017034","42471","104756"
"T20080017072","45447","5000"
"T20080017139","38892","5364"
"T20080017193","55413","9472"
"T20080017255","35861","5563"
"T20080017257","37341","104236"
"T20080017274","42844","6408"
"T20080017339","53887","9620"
"T20080017440","44222","8628"
"T20080017483","44220","8618"
"T20080017510","876","6270"
"T20080017512","35315","6359"
"T20080017521","54219","103333"
"T20080017692","57022","1158"
"T20080017770","41140","103512"
"T20080017881","596","103566"
"T20080017895","35642","6766"
"T20080017971","35611","6265"
"T20080017992","46085","1000"
"T20080018005","37702","5528"
"T20080018113","929","6605"
"T20080018121","10592","1000"
"T20080018173","43989","104106"
"T20080018191","842","6298"
"T20080018302","51143","3173"
"T20080018309","223467","6369"
"T20080018318","39539","5236"
"T20080018354","42197","6153"
"T20080018393","1323","8758"
"T20080018441","29387","9395"
"T20080018462","35841","2258"
"T20080018469","41953","5795"
"T20080018558","47747","103626"
"T20080018578","54305","2249"
"T20080018606","41745","5988"
"T20080018723","38755","8706"
"T20080018738","46350","101731"
"T20080018817","49211","1246"
"T20080018835","217874","103747"
"T20080018856","51590","4158"
"T20080018861","38711","9214"
"T20080018965","52494","1024"
"T20080018984","35465","5322"
"T20080019037","48129","7699"
"T20080019056","793","1000"
"T20080019056","793","6086"
"T20080019062","35620","6351"
"T20080019063","35565","5699"
"T20080019103","42912","6213"
"T20080019207","41910","5791"
"T20080019241","36693","9262"
"T20080019262","41940","5723"
"T20080019315","47418","8578"
"T20080019373","44405","8663"
"T20080019396","35719","5828"
"T20080019413","57027","100682"
"T20080019418","57133","100412"
"T20080019504","10893","7594"
"T20080019506","50131","7769"
"T20080019533","43242","6488"
"T20080019534","195","6277"
"T20080019547","47080","5990"
"T20080019550","45154","9088"
"T20080019552","57028","5853"
"T20080019556","44222","8628"
"T20080019604","74577","103568"
"T20080019606","57029","5472"
"T20080019625","15413","7749"
"T20080019627","10610","1001"
"T20080019665","57039","9073"
"T20080019669","39558","5308"
"T20080019678","40951","5456"
"T20080019814","48393","9207"
"T20080019865","29908","8608"
"T20080019942","53254","1245"
"T20080019980","41713","5715"
"T20080020040","43895","6606"
"T20080020087","50996","3103"
"T20080020108","35714","9155"
"T20080020145","29619","5485"
"T20080020357","37241","9421"
"T20080020358","38669","9392"
"T20080020366","285063","9406"
"T20080020409","37297","8969"
"T20080020418","40442","5558"
"T20080020443","42197","6153"
"T20080020491","46543","1004"
"T20080020521","44771","7551"
"T20080020577","57521","5623"
"T20080020613","49240","2313"
"T20080020632","35389","9383"
"T20080020634","50057","7738"
"T20080020759","35304","9276"
"T20080020796","1323","8758"
"T20080020812","47540","8695"
"T20080020860","22519","2274"
"T20080020870","55302","5541"
"T20080020878","37585","9474"
"T20080020897","50072","7742"
"T20080020914","42815","6381"
"T20080020924","47332","9049"
"T20080020958","44083","6867"
"T20080020966","57121","104173"
"T20080020976","50355","7957"
"T20080021003","600","5563"
"T20080021048","217059","5159"
"T20080021069","50210","7813"
"T20080021071","35308","1001"
"T20080021071","35308","9286"
"T20080021113","44201","8620"
"T20080021118","35611","6265"
"T20080021214","46322","7840"
"T20080021218","1323","8758"
"T20080021240","57530","5678"
"T20080021364","228","9406"
"T20080021431","35689","9138"
"T20080021480","376","102938"
"T20080021502","29744","6761"
"T20080021503","55321","4018"
"T20080021541","46938","5160"
"T20080021598","43431","6696"
"T20080021602","35705","8760"
"T20080021608","36984","8808"
"T20080021648","43662","8536"
"T20080021672","43859","6583"
"T20080021689","792","6047"
"T20080021766","40789","5565"
"T20080021826","478","5254"
"T20080021883","46543","1004"
"T20080021906","57091","8953"
"T20080021935","55700","5397"
"T20080021938","27760","6512"
"T20080021960","35314","6894"
"T20080021979","38449","5135"
"T20080021981","42197","6153"
"T20080022026","40894","5517"
"T20080022071","43510","6671"
"T20080022084","1323","8758"
"T20080022100","37235","9084"
"T20080022108","39071","8985"
"T20080022157","48998","1026"
"T20080022261","40802","5625"
"T20080022283","65647","102706"
"T20080022301","43049","6326"
"T20080022315","222082","4082"
"T20080022371","29746","6456"
"T20080022395","42815","6381"
"T20080022400","29557","103332"
"T20080022452","35444","9293"
"T20080022515","57149","100429"
"T20080022576","43431","6696"
"T20080022590","478","5254"
"T20080022620","39071","8985"
"T20080022667","37531","8676"
"T20080022705","46492","5627"
"T20080022733","10592","1000"
"T20080022796","38694","8690"
"T20080022903","37916","9186"
"T20080022955","57080","5019"
"T20080023004","37590","9484"
"T20080023129","47248","1001"
"T20080023129","47248","9285"
"T20080023154","35438","8799"
"T20080023158","44208","8856"
"T20080023183","35408","9510"
"T20080023286","41722","5935"
"T20080023324","217306","9028"
"T20080023346","713","5957"
"T20080023349","1064","6903"
"T20080023400","43895","6606"
"T20080023405","29372","9209"
"T20080023531","22510","2246"
"T20080023648","49826","7675"
"T20080023695","40143","9552"
"T20080023701","35387","9426"
"T20080023704","48278","7726"
"T20080023721","41039","5667"
"T20080023745","45050","100447"
"T20080023778","42197","6153"
"T20080023784","44633","8991"
"T20080023878","57101","9278"
"T20080023926","48967","104781"
"T20080023930","36328","104562"
"T20080023947","29464","9498"
"T20080023968","218068","1020"
"T20080023996","36731","5673"
"T20080024034","36983","9445"
"T20080024170","285098","4082"
"T20080024204","57118","104211"
"T20080024211","57585","6103"
"T20080024222","35578","6196"
"T20080024224","40595","5665"
"T20080024236","57538","5762"
"T20080024236","57538","100943"
"T20080024248","57110","5427"
"T20080024283","35911","104201"
"T20080024342","41814","5691"
"T20080024349","46543","1004"
"T20080024358","35689","9138"
"T20080024389","15202","3087"
"T20080024466","39923","9542"
"T20080024476","37962","9010"
"T20080024493","35446","9275"
"T20080024532","42866","6323"
"T20080024608","30722","9145"
"T20080024638","19446","4193"
"T20080024716","47362","101498"
"T20080024756","43287","6470"
"T20080024757","51107","3150"
"T20080024795","42337","6167"
"T20080024829","10760","100578"
"T20080024839","49662","7602"
"T20080024865","41182","8839"
"T20080024875","10381","1002"
"T20080024890","223511","5206"
"T20080024909","35690","1155"
"T20080024910","930","6588"
"T20080024953","10592","1000"
"T20080025061","48998","1026"
"T20080025112","29387","9395"
"T20080025154","57123","9071"
"T20080025162","221814","106052"
"T20080025167","19","9229"
"T20080025190","39557","5303"
"T20080025201","55417","1237"
"T20080025221","53208","7820"
"T20080025230","42610","6046"
"T20080025240","169","9305"
"T20080025387","46387","7701"
"T20080025494","43287","6470"
"T20080025498","217521","101622"
"T20080025554","59756","4174"
"T20080025575","35408","9510"
"T20080025608","55376","2311"
"T20080025613","78","9390"
"T20080025621","29429","9408"
"T20080025623","36984","8808"
"T20080025626","29667","5814"
"T20080025667","10592","1000"
"T20080025682","37297","8969"
"T20080025757","84","5272"
"T20080025856","329","5267"
"T20080025883","43287","6470"
"T20080025919","37838","9193"
"T20080025955","38938","5362"
"T20080025960","47824","100786"
"T20080025993","29386","9210"
"T20080026013","38321","5116"
"T20080026077","1175","6546"
"T20080026119","46350","101731"
"T20080026129","43779","1021"
"T20080026134","45430","9114"
"T20080026273","713","5957"
"T20080026383","51698","105978"
"T20080026418","56710","7924"
"T20080026515","35769","4025"
"T20080026522","37856","102008"
"T20080026555","795","6010"
"T20080026590","38487","5067"
"T20080026624","49649","7597"
"T20080026687","2784","101329"
"T20080026718","41920","5741"
"T20080026728","35862","8776"
"T20080026801","43242","6488"
"T20080026879","840","6411"
"T20080026901","217799","9276"
"T20080026986","36693","9262"
"T20080027049","1190","100334"
"T20080027053","83","9299"
"T20080027165","47157","101752"
"T20080027263","35705","8760"
"T20080027271","47319","9568"
"T20080027274","11171","9243"
"T20080027366","39219","103330"
"T20080027382","40909","5594"
"T20080027411","29435","8803"
"T20080027425","228","9406"
"T20080027445","36932","9400"
"T20080027510","29387","9395"
"T20080027572","35784","7781"
"T20080027574","38155","9047"
"T20080027636","46463","6224"
"T20080027653","49826","7675"
"T20080027719","53412","5736"
"T20080027755","876","6270"
"T20080027769","35620","6351"
"T20080027772","29384","6112"
"T20080027809","42577","105834"
"T20080027847","43974","6814"
"T20080027897","28824","1002"
"T20080027924","52286","1249"
"T20080027942","44031","6854"
"T20080027947","29464","9498"
"T20080027983","224600","105625"
"T20080028001","38816","102200"
"T20080028012","57176","102398"
"T20080028021","37653","5503"
"T20080028090","42360","100577"
"T20080028100","37164","8624"
"T20080028158","29425","9391"
"T20080028166","54837","3150"
"T20080028282","793","1000"
"T20080028282","793","6086"
"T20080028296","959","6714"
"T20080028311","42361","100577"
"T20080028385","920","6634"
"T20080028386","37962","9010"
"T20080028415","39504","5334"
"T20080028519","35638","102085"
"T20080028574","343","5266"
"T20080028665","222946","9245"
"T20080028693","53892","7653"
"T20080028741","52859","2308"
"T20080028780","44909","9138"
"T20080028794","38993","5200"
"T20080028847","37788","5457"
"T20080028926","35572","6009"
"T20080029008","41","6531"
"T20080029056","35882","100529"
"T20080029112","46152","6726"
"T20080029117","612","5538"
"T20080029141","50635","7970"
"T20080029163","49277","2305"
"T20080029190","1316","8715"
"T20080029196","57544","100891"
"T20080029205","42590","6184"
"T20080029230","52840","2284"
"T20080029244","228","9406"
"T20080029290","53878","8985"
"T20080029312","29591","9544"
"T20080029342","42880","6226"
"T20080029369","30002","6047"
"T20080029398","22622","101189"
"T20080029413","35662","8601"
"T20080029429","57203","7772"
"T20080029528","36599","8672"
"T20080029612","29667","5814"
"T20080029618","36983","9445"
"T20080029648","41964","5794"
"T20080029670","33746","101548"
"T20080029687","35537","5773"
"T20080029687","35537","104334"
"T20080029692","84","5272"
"T20080029715","45654","9030"
"T20080029729","47153","6219"
"T20080029748","45642","9183"
"T20080029775","43027","6301"
"T20080029804","874","6406"
"T20080029877","35862","8776"
"T20080029939","15406","7725"
"T20080030025","42880","6226"
"T20080030059","28872","6424"
"T20080030066","41953","5795"
"T20080030075","51107","3150"
"T20080030139","33879","1002"
"T20080030166","224272","101908"
"T20080030184","52110","1153"
"T20080030238","35862","8776"
"T20080030265","35578","6196"
"T20080030296","29372","9209"
"T20080030319","42746","6207"
"T20080030350","39033","5183"
"T20080030385","48119","5175"
"T20080030386","37583","9452"
"T20080030422","35984","102061"
"T20080030496","35416","5526"
"T20080030504","49524","3257"
"T20080030557","54355","104151"
"T20080030583","795","6010"
"T20080030617","57254","100065"
"T20080030623","49662","7602"
"T20080030666","53513","1232"
"T20080030684","42787","6269"
"T20080030704","46152","6726"
"T20080030755","11","9205"
"T20080030779","40838","5584"
"T20080030788","41364","5894"
"T20080030821","70800","6396"
"T20080030844","52392","103260"
"T20080030874","35442","100323"
"T20080030891","35315","6359"
"T20080030893","49210","1245"
"T20080030938","41920","5741"
"T20080030945","40","6522"
"T20080030959","14250","5488"
"T20080030986","35891","6614"
"T20080031020","29746","6456"
"T20080031091","793","1000"
"T20080031091","793","6086"
"T20080031119","15406","7725"
"T20080031135","29416","9375"
"T20080031177","1248","8753"
"T20080031193","801","6166"
"T20080031227","43049","6326"
"T20080031229","35838","105419"
"T20080031306","224308","9533"
"T20080031333","35909","4020"
"T20080031371","44497","7771"
"T20080031381","224287","6330"
"T20080031382","49991","103577"
"T20080031382","49991","103809"
"T20080031394","35642","6766"
"T20080031483","57229","101221"
"T20080031499","57232","103359"
"T20080031527","84","5272"
"T20080031569","84","5272"
"T20080031574","10592","1000"
"T20080031581","45568","9051"
"T20080031582","36210","9279"
"T20080031588","35889","104576"
"T20080031599","46695","6038"
"T20080031616","35782","7700"
"T20080031745","57065","9172"
"T20080031762","29372","9209"
"T20080031773","218420","101548"
"T20080031779","50635","7970"
"T20080031786","42759","6261"
"T20080031824","35838","105419"
"T20080031876","42975","6210"
"T20080031897","41745","5988"
"T20080031938","35407","9499"
"T20080031949","40500","5518"
"T20080032009","40861","5414"
"T20080032059","57252","5818"
"T20080032115","29920","7826"
"T20080032287","40520","5523"
"T20080032339","48512","103334"
"T20080032466","35465","5322"
"T20080032494","37894","9038"
"T20080032507","917","6638"
"T20080032549","37235","9084"
"T20080032598","37170","9420"
"T20080032616","41","6531"
"T20080032704","42746","6207"
"T20080032719","42866","6323"
"T20080032754","49910","7697"
"T20080032757","223145","9366"
"T20080032766","57667","1211"
"T20080032779","57716","5825"
"T20080032901","57446","5219"
"T20080032909","42744","6221"
"T20080032914","32339","100864"
"T20080032939","57719","103295"
"T20080032973","35069","9341"
"T20080033028","39756","103013"
"T20080033048","45647","102238"
"T20080033192","48539","6016"
"T20080033216","57720","9454"
"T20080033231","10592","1000"
"T20080033246","57723","101967"
"T20080033262","906","6647"
"T20080033320","57716","5825"
"T20080033336","218516","5729"
"T20080033369","57437","5157"
"T20080033402","57725","104855"
"T20080033433","29387","9395"
"T20080033435","35785","7781"
"T20080033543","37908","105057"
"T20080033548","52926","2328"
"T20080033550","36189","8739"
"T20080033601","43143","6272"
"T20080033604","43287","6470"
"T20080033642","57727","2267"
"T20080033760","29794","6507"
"T20080033763","43287","6470"
"T20080033893","38377","5114"
"T20080033925","41916","5736"
"T20080033945","57729","104687"
"T20080033958","50218","7814"
"T20080034053","37235","9084"
"T20080034071","36208","9264"
"T20080034146","587","5653"
"T20080034169","533","8871"
"T20080034229","29395","8853"
"T20080034357","55791","6194"
"T20080034369","22","9260"
"T20080034426","49826","7675"
"T20080034428","39773","102335"
"T20080034485","43564","6773"
"T20080034487","35413","5528"
"T20080034503","29525","9307"
"T20080034533","15406","7725"
"T20080034575","78","9390"
"T20080034620","46085","1000"
"T20080034634","37987","101456"
"T20080034652","84","5272"
"T20080034659","57739","102957"
"T20080034664","57488","100012"
"T20080034716","57544","100891"
"T20080034751","84","5272"
"T20080034771","37235","9084"
"T20080034844","35553","100891"
"T20080034860","40914","5669"
"T20080035019","55791","6194"
"T20080035054","899","6573"
"T20080035063","39789","5165"
"T20080035070","232708","5336"
"T20080035103","54191","9407"
"T20080035188","35568","5774"
"T20080035218","29565","5348"
"T20080035229","35775","2380"
"T20080035251","57721","1172"
"T20080035255","596","103566"
"T20080035269","35341","106066"
"T20080035288","43747","8733"
"T20080035301","40942","5603"
"T20080035349","220104","9199"
"T20080035363","30002","6047"
"T20080035376","36938","6478"
"T20080035381","37235","9084"
"T20080035383","52236","1228"
"T20080035462","795","6010"
"T20080035478","57318","2179"
"T20080035510","33759","5763"
"T20080035551","673","5849"
"T20080035568","30032","2287"
"T20080035661","35638","102085"
"T20080035670","222727","5760"
"T20080035694","37962","9010"
"T20080035748","50536","7641"
"T20080035784","544","1017"
"T20080035943","259302","3135"
"T20080035963","57753","2256"
"T20080035999","40894","5517"
"T20080036065","57484","9447"
"T20080036112","46102","8848"
"T20080036135","57458","5279"
"T20080036143","29386","9210"
"T20080036202","29746","6456"
"T20080036207","57754","6395"
"T20080036221","52939","104417"
"T20080036294","673","5849"
"T20080036403","57544","100891"
"T20080036407","38572","8805"
"T20080036502","242","9424"
"T20080036505","228","9406"
"T20080036532","57065","9172"
"T20080036676","35428","5073"
"T20080036685","40564","5424"
"T20080036706","57757","104770"
"T20080036717","29364","9206"
"T20080036743","106","6651"
"T20080036808","43367","1022"
"T20080036829","36780","5061"
"T20080036835","29372","9209"
"T20080036906","35379","7770"
"T20080036920","919","6636"
"T20080037087","35562","5864"
"T20080037155","29551","106070"
"T20080037176","39748","5146"
"T20080037194","49903","101785"
"T20080037273","219135","9089"
"T20080037289","54466","1243"
"T20080037305","793","1000"
"T20080037305","793","6086"
"T20080037339","42123","101320"
"T20080037347","29813","9115"
"T20080037380","44114","103658"
"T20080037430","51267","100152"
"T20080037431","54836","1077"
"T20080037457","932","6711"
"T20080037505","953","6695"
"T20080037641","15202","3087"
"T20080037725","47919","1001"
"T20080037742","29230","100532"
"T20080037751","40812","5676"
"T20080037772","587","5653"
"T20080037777","65998","5313"
"T20080037878","57741","9203"
"T20080037890","43012","102028"
"T20080037931","29837","8716"
"T20080037937","219242","3028"
"T20080038001","46197","6203"
"T20080038022","35562","5864"
"T20080038081","37261","9374"
"T20080038188","57474","9414"
"T20080038197","52121","1161"
"T20080038222","15406","7725"
"T20080038235","53184","1001"
"T20080038235","53184","9291"
"T20080038253","29710","6284"
"T20080038343","29416","9375"
"T20080038358","35465","5322"
"T20080038434","35411","106081"
"T20080038459","38321","5116"
"T20080038484","57777","103980"
"T20080038487","224637","2122"
"T20080038569","44909","9138"
"T20080038580","84","5272"
"T20080038624","57779","5397"
"T20080038634","36221","9233"
"T20080038648","57782","1154"
"T20080038705","29372","9209"
"T20080038818","29754","8738"
"T20080038840","46695","6038"
"T20080038875","11397","8967"
"T20080038907","51496","4144"
"T20080038917","50027","7727"
"T20080038987","37741","5444"
"T20080039042","35511","5664"
"T20080039084","45078","9153"
"T20080039161","40175","5566"
"T20080039194","37496","5124"
"T20080039224","14250","5488"
"T20080039262","37769","102123"
"T20080039266","43747","8733"
"T20080039327","39361","5291"
"T20080039352","32836","6369"
"T20080039518","36287","9316"
"T20080039548","36997","103646"
"T20080039600","36466","5865"
"T20080039603","10592","1000"
"T20080039620","42746","6207"
"T20080039674","596","103566"
"T20080039682","57465","103335"
"T20080039712","51145","3172"
"T20080039876","36997","103646"
"T20080039885","35687","9089"
"T20080040016","29395","8853"
"T20080040076","45842","9109"
"T20080040153","998","8740"
"T20080040191","41371","6008"
"T20080040222","119","9473"
"T20080040253","57800","104533"
"T20080040302","932","6711"
"T20080040329","224568","5794"
"T20080040338","57803","103579"
"T20080040348","57359","8748"
"T20080040356","37002","9389"
"T20080040357","44123","103218"
"T20080040393","343","5266"
"T20080040400","37908","105057"
"T20080040425","36982","9440"
"T20080040458","15312","4326"
"T20080040484","48539","6016"
"T20080040544","54763","9022"
"T20080040545","29387","9395"
"T20080040681","29920","7826"
"T20080040685","224681","1020"
"T20080040700","35387","9426"
"T20080040739","58071","9404"
"T20080040760","57852","9201"
"T20080040775","41894","5818"
"T20080040776","37859","9037"
"T20080040785","221849","5108"
"T20080040863","41765","5784"
"T20080040887","46312","9063"
"T20080040899","35408","9510"
"T20080040907","1195","7845"
"T20080040974","57801","102566"
"T20080040984","46158","9453"
"T20080041007","56459","8575"
"T20080041052","35375","9350"
"T20080041237","35714","9155"
"T20080041272","54913","5038"
"T20080041328","57357","103176"
"T20080041364","35687","9089"
"T20080041369","1038","6857"
"T20080041423","43287","6470"
"T20080041426","293752","1253"
"T20080041506","35407","9499"
"T20080041509","10850","9416"
"T20080041511","49275","2260"
"T20080041534","35931","104669"
"T20080041608","57542","5771"
"T20080041608","57542","104334"
"T20080041611","35553","100891"
"T20080041612","29988","102067"
"T20080041673","119","9473"
"T20080041698","57652","7726"
"T20080041713","219587","5071"
"T20080041811","24378","6509"
"T20080041854","36123","105642"
"T20080041894","52773","2249"
"T20080041946","39360","104610"
"T20080041956","57813","9137"
"T20080041958","39728","8941"
"T20080041980","39747","5141"
"T20080042021","37585","9474"
"T20080042039","57726","6407"
"T20080042074","33879","1002"
"T20080042085","35465","5322"
"T20080042092","793","1000"
"T20080042092","793","6086"
"T20080042132","35368","100860"
"T20080042157","19446","4193"
"T20080042223","37170","9420"
"T20080042298","43973","6806"
"T20080042327","57937","1346"
"T20080042354","38321","5116"
"T20080042364","35748","6399"
"T20080042461","195","6277"
"T20080042467","57531","9555"
"T20080042475","221992","5954"
"T20080042531","10850","9416"
"T20080042581","43580","6715"
"T20080042607","47741","8778"
"T20080042730","49662","7602"
"T20080042762","35588","6065"
"T20080042789","37295","9341"
"T20080042792","37295","9341"
"T20080042882","57548","5795"
"T20080042910","52125","1162"
"T20080042911","224779","1110"
"T20080042928","57828","102729"
"T20080042944","72527","1174"
"T20080043068","42590","6184"
"T20080043170","221969","4298"
"T20080043288","35728","6115"
"T20080043296","46316","9361"
"T20080043328","35408","9510"
"T20080043335","35384","9352"
"T20080043412","44993","3129"
"T20080043429","44796","1344"
"T20080043449","35439","9331"
"T20080043450","44938","9006"
"T20080043462","44123","103218"
"T20080043525","37269","101938"
"T20080043526","57065","9172"
"T20080043541","1062","6909"
"T20080043587","50131","7769"
"T20080043590","57596","6269"
"T20080043604","37962","9010"
"T20080043610","35394","106072"
"T20080043636","222424","105886"
"T20080043750","57835","8559"
"T20080043756","48278","7726"
"T20080043768","47013","5822"
"T20080043815","33759","5763"
"T20080043838","15413","7749"
"T20080043873","40189","5568"
"T20080043883","15418","103414"
"T20080043884","15202","3087"
"T20080043925","15418","103414"
"T20080044038","57867","4172"
"T20080044103","57385","8912"
"T20080044139","44909","9138"
"T20080044157","41376","5796"
"T20080044219","29372","9209"
"T20080044248","57887","102590"
"T20080044249","57839","6618"
"T20080044328","1246","9121"
"T20080044337","35368","100860"
"T20080044343","78","9390"
"T20080044351","41036","5659"
"T20080044428","221180","5528"
"T20080044545","50959","3084"
"T20080044552","54138","8885"
"T20080044573","46387","7701"
"T20080044575","222837","103025"
"T20080044621","57357","103176"
"T20080044652","39688","101438"
"T20080044657","84","5272"
"T20080044684","42638","102027"
"T20080044718","10893","7594"
"T20080044736","45881","1030"
"T20080044746","12930","9559"
"T20080044785","19446","4193"
"T20080044791","57901","8925"
"T20080044853","54798","8982"
"T20080044881","57821","9376"
"T20080044911","29798","8906"
"T20080044933","40110","102496"
"T20080045014","49331","4270"
"T20080045017","35726","5487"
"T20080045045","16155","7819"
"T20080045067","57605","6373"
"T20080045079","35611","6265"
"T20080045084","29746","6456"
"T20080045111","57701","8007"
"T20080045185","42414","6097"
"T20080045273","35646","8529"
"T20080045287","16155","7819"
"T20080045343","36321","6197"
"T20080045400","250940","5783"
"T20080045433","15443","100568"
"T20080045505","41364","5894"
"T20080045516","35400","9485"
"T20080045578","41820","5903"
"T20080045585","15437","7843"
"T20080045596","36610","106114"
"T20080045599","46350","101731"
"T20080045600","36151","6004"
"T20080045603","57846","6409"
"T20080045630","42290","6037"
"T20080045705","35428","5073"
"T20080045706","38711","9214"
"T20080045734","40872","5468"
"T20080045748","868","6379"
"T20080045809","52840","2284"
"T20080045810","57847","6261"
"T20080045837","29372","9209"
"T20080045973","29710","6284"
"T20080045976","92","7829"
"T20080046040","42232","6193"
"T20080046051","35546","5754"
"T20080046051","35546","101261"
"T20080046116","36858","9413"
"T20080046123","795","6010"
"T20080046175","37741","5444"
"T20080046229","35619","6344"
"T20080046236","37585","9474"
"T20080046307","39539","5236"
"T20080046339","35785","7781"
"T20080046399","37703","5525"
"T20080046427","65375","101153"
"T20080046436","40298","106077"
"T20080046553","29893","1001"
"T20080046618","49988","103577"
"T20080046637","38607","9349"
"T20080046739","68497","5763"
"T20080046740","42506","104757"
"T20080046748","259302","3135"
"T20080046750","50012","7723"
"T20080046958","221998","104120"
"T20080046977","37704","5525"
"T20080047038","37424","9497"
"T20080047052","57431","9196"
"T20080047185","57878","8783"
"T20080047230","35636","1022"
"T20080047257","1318","9017"
"T20080047259","56077","7724"
"T20080047267","219991","9577"
"T20080047277","16155","7819"
"T20080047284","36528","5142"
"T20080047335","43120","104039"
"T20080047380","35788","7928"
"T20080047409","37962","9010"
"T20080047471","45952","9274"
"T20080047475","36210","9279"
"T20080047540","57899","105715"
"T20080047547","37769","102123"
"T20080047553","52770","2248"
"T20080047626","35389","9383"
"T20080047649","56018","1304"
"T20080047682","220105","6692"
"T20080047686","57553","5819"
"T20080047727","51622","103301"
"T20080047745","578","106098"
"T20080047753","29465","9495"
"T20080047815","53740","2262"
"T20080047854","220009","9339"
"T20080047860","29996","1205"
"T20080047866","46152","6726"
"T20080047918","12930","9559"
"T20080047936","38477","5048"
"T20080047948","41116","9559"
"T20080047978","55362","1130"
"T20080047983","37969","102349"
"T20080048022","43895","6606"
"T20080048047","29729","8987"
"T20080048120","57912","5172"
"T20080048135","37702","5528"
"T20080048227","29893","1001"
"T20080048343","57585","6103"
"T20080048361","478","5254"
"T20080048384","99921","1000"
"T20080048441","42157","6092"
"T20080048473","55599","1248"
"T20080048487","1203","8510"
"T20080048496","52865","2315"
"T20080048499","929","6605"
"T20080048510","40093","9514"
"T20080048545","222633","6828"
"T20080048558","917","6638"
"T20080048581","52690","2174"
"T20090000021","44633","8991"
"T20090000074","10919","6651"
"T20090000092","50483","4190"
"T20090000153","57996","4300"
"T20090000181","39675","100404"
"T20090000285","220188","8556"
"T20090000290","35620","6351"
"T20090000328","277168","6789"
"T20090000382","38117","103807"
"T20090000418","49800","7664"
"T20090000428","39715","5163"
"T20090000436","54138","8885"
"T20090000442","224619","8724"
"T20090000465","73868","105730"
"T20090000673","31965","5512"
"T20090000783","38993","5200"
"T20090000827","53216","9400"
"T20090000900","48621","9076"
"T20090000901","29871","9061"
"T20090000911","34021","5673"
"T20090000919","43981","6782"
"T20090000984","10592","1000"
"T20090001009","39626","5356"
"T20090001039","34104","101245"
"T20090001088","29384","6112"
"T20090001148","226435","5945"
"T20090001173","223827","7833"
"T20090001202","30820","9200"
"T20090001268","33879","1002"
"T20090001289","35350","105479"
"T20090001298","54721","8000"
"T20090001299","57932","5485"
"T20090001302","57933","9473"
"T20090001306","57934","6883"
"T20090001334","57573","6016"
"T20090001352","44443","7666"
"T20090001355","57492","9484"
"T20090001370","45974","5566"
"T20090001384","57469","9380"
"T20090001408","47032","103514"
"T20090001409","29961","1319"
"T20090001449","49649","7597"
"T20090001469","57939","105588"
"T20090001485","29372","9209"
"T20090001491","44465","7774"
"T20090001500","46387","7701"
"T20090001501","44465","7774"
"T20090001725","57979","5736"
"T20090001782","29667","5814"
"T20090001786","106","6651"
"T20090001824","32586","5914"
"T20090001903","57954","5768"
"T20090001903","57954","102478"
"T20090002005","40939","5460"
"T20090002031","35431","1016"
"T20090002054","29365","9206"
"T20090002108","38313","5102"
"T20090002130","36466","5865"
"T20090002141","44918","9123"
"T20090002157","228","9406"
"T20090002236","42451","6033"
"T20090002339","225360","102923"
"T20090002365","29953","7833"
"T20090002419","43004","6202"
"T20090002525","57966","103948"
"T20090002663","52494","1024"
"T20090002687","29920","7826"
"T20090002830","45881","1030"
"T20090002998","29416","9375"
"T20090003073","35642","6766"
"T20090003076","42460","6194"
"T20090003100","57985","105635"
"T20090003147","39191","5166"
"T20090003165","1231","100784"
"T20090003272","84","5272"
"T20090003274","37583","9452"
"T20090003351","35069","9341"
"T20090003411","58068","9577"
"T20090003443","57986","105942"
